sweep,iteration,magnetization,magnetization_per_site,abs_magnetization_per_site,energy_per_site,acceptance_rate
355,90880,240,0.9375000000,0.9375000000,-1.7812500000,0.0546875000
356,91136,246,0.9609375000,0.9609375000,-1.8593750000,0.0664062500
357,91392,250,0.9765625000,0.9765625000,-1.9062500000,0.0390625000
358,91648,242,0.9453125000,0.9453125000,-1.8281250000,0.0468750000
359,91904,236,0.9218750000,0.9218750000,-1.7187500000,0.0507812500
360,92160,242,0.9453125000,0.9453125000,-1.8125000000,0.0664062500
361,92416,246,0.9609375000,0.9609375000,-1.8593750000,0.0625000000
362,92672,250,0.9765625000,0.9765625000,-1.9062500000,0.0390625000
363,92928,246,0.9609375000,0.9609375000,-1.8437500000,0.0468750000
364,93184,236,0.9218750000,0.9218750000,-1.7656250000,0.0742187500
365,93440,236,0.9218750000,0.9218750000,-1.7968750000,0.0703125000
366,93696,244,0.9531250000,0.9531250000,-1.8281250000,0.0468750000
367,93952,242,0.9453125000,0.9453125000,-1.7968750000,0.0351562500
368,94208,244,0.9531250000,0.9531250000,-1.8437500000,0.0429687500
369,94464,238,0.9296875000,0.9296875000,-1.7968750000,0.0429687500
370,94720,244,0.9531250000,0.9531250000,-1.8437500000,0.0664062500
371,94976,246,0.9609375000,0.9609375000,-1.8437500000,0.0585937500
372,95232,250,0.9765625000,0.9765625000,-1.9062500000,0.0468750000
373,95488,244,0.9531250000,0.9531250000,-1.8125000000,0.0273437500
374,95744,236,0.9218750000,0.9218750000,-1.7343750000,0.0625000000
375,96000,232,0.9062500000,0.9062500000,-1.6718750000,0.0390625000
376,96256,232,0.9062500000,0.9062500000,-1.6718750000,0.0781250000
377,96512,244,0.9531250000,0.9531250000,-1.8125000000,0.0703125000
