step,x,y,u
0,26,12,2.424486773788e-03
0,27,12,1.868625615453e-03
0,28,12,1.320461073121e-03
0,29,12,8.555191474153e-04
0,30,12,5.082000357831e-04
0,31,12,2.767836772158e-04
0,32,12,1.382124242728e-04
0,33,12,6.327825884342e-05
0,34,12,2.656212296722e-05
0,35,12,1.022284724420e-05
0,36,12,3.607296048412e-06
0,37,12,1.167058233708e-06
0,38,12,3.461816902677e-07
0,39,12,9.414916820505e-08
0,40,12,2.347630304647e-08
0,41,12,5.367150244568e-09
0,42,12,1.125015807812e-09
0,43,12,2.162092762963e-10
0,44,12,3.809700611026e-11
0,45,12,6.154718556496e-12
0,46,12,9.116463031482e-13
0,47,12,0.000000000000e+00
0,0,13,0.000000000000e+00
0,1,13,2.368739415585e-12
0,2,13,1.599186481233e-11
0,3,13,9.898781981294e-11
0,4,13,5.617786558336e-10
0,5,13,2.923139465294e-09
0,6,13,1.394551844260e-08
0,7,13,6.099870549178e-08
0,8,13,2.446286952536e-07
0,9,13,8.994872373851e-07
0,10,13,3.032378707532e-06
0,11,13,9.372872246672e-06
0,12,13,2.656212296722e-05
0,13,13,6.901662126727e-05
0,14,13,1.644165125821e-04
0,15,13,3.591186800934e-04
0,16,13,7.191697081946e-04
0,17,13,1.320461073121e-03
0,18,13,2.222903683449e-03
0,19,13,3.430966790350e-03
0,20,13,4.855268027754e-03
0,21,13,6.299567457033e-03
0,22,13,7.493920445364e-03
0,23,13,8.173503485051e-03
0,24,13,8.173503485051e-03
0,25,13,7.493920445364e-03
0,26,13,6.299567457033e-03
0,27,13,4.855268027754e-03
0,28,13,3.430966790350e-03
0,29,13,2.222903683449e-03
0,30,13,1.320461073121e-03
0,31,13,7.191697081946e-04
0,32,13,3.591186800934e-04
0,33,13,1.644165125821e-04
0,34,13,6.901662126727e-05
0,35,13,2.656212296722e-05
0,36,13,9.372872246672e-06
0,37,13,3.032378707532e-06
0,38,13,8.994872373851e-07
0,39,13,2.446286952536e-07
0,40,13,6.099870549178e-08
0,41,13,1.394551844260e-08
0,42,13,2.923139465294e-09
0,43,13,5.617786558336e-10
0,44,13,9.898781981294e-11
0,45,13,1.599186481233e-11
0,46,13,2.368739415585e-12
0,47,13,0.000000000000e+00
0,0,14,0.000000000000e+00
0,1,14,5.642986671547e-12
0,2,14,3.809700611026e-11
0,3,14,2.358161240425e-10
0,4,14,1.338310768323e-09
0,5,14,6.963719577255e-09
0,6,14,3.322204805713e-08
0,7,14,1.453156391146e-07
0,8,14,5.827726164014e-07
0,9,14,2.142825191490e-06
0,10,14,7.223957399914e-06
0,11,14,2.232875123962e-05
0,12,14,6.327825884342e-05
0,13,14,1.644165125821e-04
0,14,14,3.916852073211e-04
0,15,14,8.555191474153e-04
0,16,14,1.713259403386e-03
0,17,14,3.145700277071e-03
0,18,14,5.295565977119e-03
0,19,14,8.173503485051e-03
0,20,14,1.156657950095e-02
0,21,14,1.500729669235e-02
0,22,14,1.785257293925e-02
0,23,14,1.947152604568e-02
0,24,14,1.947152604568e-02
0,25,14,1.785257293925e-02
0,26,14,1.500729669235e-02
0,27,14,1.156657950095e-02
0,28,14,8.173503485051e-03
0,29,14,5.295565977119e-03
0,30,14,3.145700277071e-03
0,31,14,1.713259403386e-03
0,32,14,8.555191474153e-04
0,33,14,3.916852073211e-04
0,34,14,1.644165125821e-04
0,35,14,6.327825884342e-05
0,36,14,2.232875123962e-05
0,37,14,7.223957399914e-06
0,38,14,2.142825191490e-06
0,39,14,5.827726164014e-07
0,40,14,1.453156391146e-07
0,41,14,3.322204805713e-08
0,42,14,6.963719577255e-09
0,43,14,1.338310768323e-09
0,44,14,2.358161240425e-10
0,45,14,3.809700611026e-11
0,46,14,5.642986671547e-12
0,47,14,0.000000000000e+00
0,0,15,0.000000000000e+00
0,1,15,1.232541606341e-11
0,2,15,8.321151163568e-11
0,3,15,5.150697693369e-10
0,4,15,2.923139465294e-09
0,5,15,1.521016194693e-08
0,6,15,7.256362430333e-08
0,7,15,3.173985367783e-07
0,8,15,1.272892421265e-06
0,9,15,4.680360520688e-06
0,10,15,1.577857361019e-05
0,11,15,4.877047656207e-05
0,12,15,1.382124242728e-04
0,13,15,3.591186800934e-04
0,14,15,8.555191474153e-04
0,15,15,1.868625615453e-03
0,16,15,3.742102578013e-03
